post_id,username,platform,post_type,post_date,likes,comments,shares,engagement_rate,sponsorship,brand_name,revenue_generated,ad_spent,category,region,follower_count,campaign_duration_days
P9928,@alex_99,Instagram,video,2024-10-31,15795.0,None,1044.0,None,No,Apple,557.351122,None,food,Usa,None,19.0
P1711,@travelwithsam,TikTok,image,2024-01-06,37194.0,None,None,12.16,No,Apple,42.8990081154193,7.675834084761046,fashion,Usa,None,None
P5554,@finance_guru,Instagram,text,2022-06-13,429365.0,769.0,None,None,No,None,4155.553088,8.149233543733093,fitness,Usa,1767391.0,None
P6168,@finance_guru,Twitter,video,2023-10-27,891743.0,None,459.0,5.62,None,Cocacola,3367.37,3.854824165915239,fashion,Canada,10000.0,22.0
P6930,@travelwithsam,TikTok,text,2025-12-04,None,2904.0,1584.0,None,None,Google,4388.02,11.254057709648333,fashion,Usa,None,None
P5808,@johndoe,Twitter,image,2022-08-23,18431.0,None,975.0,11.36,Yes,Netflix,9.096032461677186,844.32,food,Australia,1200000.0,47.0
P1009,@travelwithsam,TikTok,video,2024-02-05,35773.0,None,831.0,None,No,Tata,1353.775801,1015.36,fitness,Germany,None,9999.0
P5342,@lifestylelina,Instagram,video,2022-09-20,None,None,166.0,None,Yes,Adidas,4399.67,481.7431849,tech,Australia,None,14.0
P4770,@techietom,LinkedIn,video,2022-05-12,798361.0,None,1369.0,None,No,Apple,3464.84,1343.37,food,Australia,68648.0,9999.0
P2545,@lifestylelina,Twitter,reel,2023-05-13,23483.0,2556.0,775.0,10.65,No,Netflix,1183.26,1.600541027953111,travel,India,500.0,17.0
P3296,@alex_99,Twitter,video,2023-01-28,560337.0,None,None,None,Yes,Google,4325.99,1968.33,tech,Uk,None,None
P7570,@travelwithsam,LinkedIn,video,2024-12-04,13417.0,None,None,3.82,No,Apple,2243.497188,None,fitness,Usa,500.0,26.0
P1821,@alex,Twitter,video,2022-04-30,5675.0,None,1981.0,None,Yes,Google,52.25721370604148,1393.183007,fitness,Usa,1200000.0,14.0
P9565,@lifestylelina,Instagram,image,2025-06-22,None,4551.0,1485.0,14.42,None,Tata,4264.15,15.216411181244364,food,India,500.0,9999.0
P2127,@sarah123,Twitter,video,2024-11-02,None,337.0,None,None,None,Apple,697.85,1858.04,tech,Usa,10000.0,None
P3546,@johndoe,LinkedIn,video,2023-06-26,None,None,187.0,None,Yes,None,3532.522629,1614.199887,tech,Uk,2614240.0,9999.0
P8239,@jdoe,Twitter,text,2022-09-25,None,3884.0,None,None,Yes,Nike,4271.918436,1810.67,tech,Uk,10000.0,9999.0
P6862,@techietom,LinkedIn,video,2022-03-27,1268727.0,None,647.0,None,No,Samsung,4524.446429,None,travel,Germany,1200000.0,11.0
