post_id,username,platform,post_type,post_date,likes,comments,shares,engagement_rate,sponsorship,brand_name,revenue_generated,ad_spent,category,region,follower_count,campaign_duration_days
P9928,@alex_99,Instagram,video,10/31/2024,15795,,1044,N/A,No,Apple,557.351122,,food,USA,,19
P1711,@travelwithsam,TikTok,image,6-Jan-24,37194,,,12.16,no,Apple,"₹3,806",₹681,fashion,U.S.,,
P5554,@finance_guru,Instagram,text,13/06/2022,429365,769,,,No,,4155.553088,₹723,fitness,USA,1767391,
P6168,@finance_guru,Twitter,video,10/27/2023,891743,,459,5.62,,CocaCola,"$3,367.37 ",₹342,fashion,Canada,10k,22
P6930,@travelwithsam,TikTok,text,4/12/2025,,2904,1584,N/A,,Google,"USD 4,388.02",998.46 INR,fashion,United States,,
P5808,@johndoe,Twitter,image,23-Aug-22,18431,,975,11.36,yes,Netflix,₹807,$844.32 ,food,Australia,1.2M,47
P1009,@travelwithsam,TikTok,video,5/2/2024,35773,,831,N/A,No,TATA,1353.775801,"$1,015.36 ",fitness,Germany,,9999
P5342,@lifestylelina,Instagram,video,9/20/2022,,,166,,Yes,Adiddas,"USD 4,399.67",481.7431849,tech,Australia,,14
P4770,@techietom,LinkedIn,video,12-May-22,798361,,1369,N/A,No,Apple,"USD 3,464.84","USD 1,343.37",food,Australia,68648,9999
P2545,@lifestylelina,Twitter,reel,5/13/2023,23483,2556,775,10.65,No,Netflix,"$1,183.26 ",₹142,travel,India,500,17
P3296,@alex_99,Twitter,video,28/01/2023,560337,,,,Yes,Gogle,"$4,325.99 ","$1,968.33 ",tech,U.K.,,
P7570,@travelwithsam,LinkedIn,video,4/12/2024,13417,,,3.82,No,Apple,2243.497188,,fitness,USA,500,26
P1821,@alex,Twitter,video,4/30/2022,5675,,1981,,yes,Google,"4,636.26 INR",1393.183007,fitness,United States,1.2M,14
P9565,@lifestylelina,Instagram,image,6/22/2025,,4551,1485,14.42,,TATA,"$4,264.15 ","₹1,350",food,India,500,9999
P2127,@sarah123,Twitter,video,2-Nov-24,,337,,,,Apple,USD 697.85,"$1,858.04 ",tech,U.S.,10k,
P3546,@johndoe,LinkedIn,video,6/26/2023,,,187,N/A,Yes,,3532.522629,1614.199887,tech,UK,2614240,9999
P8239,@jdoe,Twitter,text,25-Sep-22,,3884,,N/A,Yes,Nike,4271.918436,"$1,810.67 ",tech,UK,10k,9999
P6862,@techietom,LinkedIn,video,27-Mar-22,1268727,,647,N/A,no,Samsung,4524.446429,,travel,Germany,1.2M,11
P2771,@johndoe,YouTube,text,23/04/2024,1450224,391,1698,N/A,No,Nike,"4,426.47 INR","₹1,499",fashion,Canada,1.2M,33
P1452,@travelwithsam,TikTok,text,8/6/2025,12666,,230,,yes,Gogle,"₹1,781","1,320.07 INR",travel,U.S.,,
P2146,@alex_99,LinkedIn,reel,4/1/2022,,4875,,N/A,Yes,CocaCola,"USD 2,201.09","$1,968.47 ",food,India,1.2M,
